id,crop,Podvib_1,Podvib_2,Podvib_3,Podvib_4,Podvib_5
3481,0,6,0,0,0,0
6638,2,4,4,4,2,4
6685,4,6,4,4,4,4
6746,6,0,6,6,6,6
1745,6,4,6,6,6,6
5234,0,4,0,0,0,0
5510,2,0,2,2,2,2
1983,4,6,4,4,4,4
2163,6,0,6,6,6,6
2339,4,6,4,4,4,4
5632,2,4,2,2,2,2
2534,0,2,0,0,0,0
4940,4,2,4,4,4,4
2025,6,0,6,6,6,6
2099,4,0,4,4,4,4
4796,6,0,6,6,6,6
1187,6,0,6,6,6,6
4002,4,0,4,4,4,4
2934,4,0,4,4,4,4
5317,6,0,6,6,6,6
3075,0,2,0,0,0,0
3931,4,2,4,4,4,4
6226,4,0,4,4,4,4
5990,6,0,6,6,6,6
999,0,4,0,0,0,0
6159,4,0,4,4,4,4
6632,6,0,6,6,6,6
4745,6,0,6,6,6,6
6267,2,4,2,2,2,2
680,6,0,6,6,6,6
6747,0,6,0,0,0,0
1924,4,0,4,4,4,4
1105,4,6,4,4,4,4
3143,0,2,0,0,0,0
2787,4,0,4,4,0,4
4669,0,2,0,0,0,0
3464,6,2,6,6,6,6
433,1,1,4,1,1,1
664,4,4,0,4,4,4
3207,0,0,4,0,0,0
3161,4,4,0,4,4,4
1815,2,2,4,2,2,2
6549,2,2,6,2,2,2
3074,0,0,4,0,0,0
234,0,0,6,0,0,0
436,0,0,6,0,0,0
3617,0,0,4,0,0,0
1381,6,6,0,6,6,6
4640,0,0,6,0,0,0
2186,4,4,6,4,4,4
5313,2,2,4,2,2,2
358,6,6,2,6,6,6
2721,0,0,6,0,0,0
4074,0,0,4,0,4,0
6391,4,4,0,4,4,4
1866,4,4,6,4,4,4
5602,2,2,6,2,2,2
6339,0,0,6,0,0,0
1455,0,0,4,0,0,0
4919,4,4,6,4,4,4
1447,0,0,6,0,0,0
5930,4,4,0,4,4,4
820,6,6,4,6,6,6
979,0,0,6,0,0,0
5493,3,3,3,5,3,3
6662,2,2,2,4,2,2
288,0,0,0,2,0,0
6282,0,0,0,6,0,0
2696,6,6,6,0,6,6
6615,0,0,0,2,0,0
2361,0,0,0,2,0,0
6401,4,4,4,0,4,4
3586,4,4,4,0,4,4
1404,4,4,4,0,4,4
2037,3,3,3,5,3,3
5112,2,2,2,4,2,2
3679,4,4,4,0,4,4
4073,0,0,0,2,0,0
6289,0,0,0,6,0,0
5527,4,4,4,6,4,4
6834,4,4,4,6,4,4
363,2,2,2,4,2,2
5499,4,4,4,0,4,4
5062,0,0,0,6,0,0
3883,6,6,6,0,6,6
2601,1,1,1,4,1,1
4358,0,0,0,4,0,0
3683,0,0,0,6,0,0
444,4,4,4,6,4,4
3022,4,4,4,0,4,4
4399,6,6,6,0,6,6
1947,0,0,0,6,0,0
850,6,6,6,4,6,6
4293,4,4,4,2,4,4
6739,2,2,2,6,2,2
5110,0,0,0,6,0,0
955,4,4,4,4,6,4
6098,0,0,0,0,4,0
3888,2,2,2,2,6,2
311,0,0,0,0,6,0
4644,0,0,0,0,6,0
1266,4,4,4,4,2,4
4969,0,4,4,4,4,0
6586,0,0,0,0,6,0
3788,2,2,2,2,6,2
1050,4,4,4,4,0,4
6038,6,6,6,6,2,6
987,4,4,4,4,6,4
1596,0,0,0,0,4,0
4321,6,6,6,6,0,6
1868,0,0,4,4,4,4
431,1,1,1,1,2,1
2419,6,6,6,6,0,6
338,4,4,4,4,0,4
5765,6,6,6,6,0,6
1136,4,4,4,4,0,4
148,2,2,2,2,0,2
4223,4,4,4,4,0,4
4873,4,4,4,4,0,4
3495,4,4,4,4,6,4
2332,4,4,4,4,0,4
6249,4,4,4,4,6,4
2853,0,0,0,0,6,0
5567,4,4,4,4,0,4
3687,3,3,3,3,5,3
77,0,0,0,0,6,0
3391,4,4,4,4,0,4
4627,4,6,6,6,6,6
5342,0,0,0,0,4,0
3812,6,6,6,6,6,0
1761,0,0,0,0,0,6
232,6,6,6,6,6,0
1603,2,2,2,2,2,4
1077,6,6,6,6,6,0
5989,4,4,4,4,4,0
404,0,0,0,0,0,2
3584,6,6,6,6,6,1
6172,4,4,4,4,4,0
1191,6,6,6,6,6,0
2539,6,6,6,6,6,4
4846,4,4,4,4,4,0
4171,0,0,0,0,0,6
825,6,6,6,6,6,0
4185,0,0,0,0,0,6
4000,0,0,0,0,0,4
2816,6,6,6,6,6,0
1635,4,4,4,4,4,0
2265,4,4,4,4,4,0
5869,4,4,4,4,4,0
635,4,4,4,4,4,0
1816,2,2,2,2,2,4
3991,0,0,0,0,0,4
4499,0,0,0,0,0,4
766,1,1,1,1,1,4
1291,6,6,6,6,6,0
3645,4,4,4,4,4,0
2454,2,2,2,2,2,4
3099,6,6,6,6,6,0
391,6,6,6,6,6,0
878,4,4,4,4,4,0
1016,0,0,0,0,0,2
2556,4,4,4,4,4,2
189,0,0,0,0,0,2
860,6,6,6,6,6,0
